Card#,Artist,Title,All Artists
1,Bryan Adams,Somebody,Bryan Adams
2,The Bellamy Brothers,Let Your Love Flow,The Bellamy Brothers
3,Robin Gibb,Juliet,Robin Gibb
4,Barry Ryan,Eloise,Barry Ryan
5,AC/DC,Back In Black,AC/DC
6,Procol Harum,A Whiter Shade of Pale - Original Single Version,Procol Harum
7,Rocco Granata,Marina,Rocco Granata
8,ABBA,Lay All Your Love On Me,ABBA
9,The Clash,Rock the Casbah - Remastered,The Clash
10,CHIC,Everybody Dance - 2018 Remaster,CHIC
11,Roxy Music,Jealous Guy,Roxy Music
12,Pop Tops,Mammy Blue,Pop Tops
13,Bobby Vinton,Blue Velvet,Bobby Vinton
14,The Everly Brothers,Cathy's Clown - 2007 Remaster,The Everly Brothers
15,Joe Cocker,You Are So Beautiful,Joe Cocker
16,La Bionda,"""One for You",La Bionda
17,Stevie Wonder,For Once In My Life,Stevie Wonder
18,Jermaine Jackson,When the Rain Begins to Fall,Jermaine Jackson; Pia Zadora
19,Paul McCartney,Ebony And Ivory - Remixed 2015,Paul McCartney
20,Bob Dylan,The Times They Are A-Changin',Bob Dylan
21,Bonnie Tyler,Lost in France,Bonnie Tyler
22,Pink Floyd,Time,Pink Floyd
23,Gloria Gaynor,Never Can Say Goodbye - Single Version,Gloria Gaynor
24,The Beatles,Something - Remastered 2009,The Beatles
25,Raffaella Carrà,A far l'amore comincia tu,Raffaella Carrà
26,Bill Withers,Use Me,Bill Withers
27,Anton Karas,The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas
28,Donovan,Atlantis,Donovan
29,Quincy Jones,Soul Bossa Nova,Quincy Jones
30,David Bowie,Let's Dance - 2018 Remaster,David Bowie
31,Thompson Twins,Hold Me Now,Thompson Twins
32,Cliff Richard,Das Ist Die Frage Aller Fragen - 1998 Remaster,Cliff Richard
33,Steve Miller Band,Abracadabra,Steve Miller Band
34,Steely Dan,Do It Again,Steely Dan
35,The Tremeloes,Silence Is Golden,The Tremeloes
36,The Ronettes,"""Baby",The Ronettes
37,Frankie Goes To Hollywood,The Power Of Love,Frankie Goes To Hollywood
38,Yusuf / Cat Stevens,Peace Train - Remastered 2021,Yusuf / Cat Stevens
39,Ray Charles,"""Hallelujah",Ray Charles
40,Kansas,Dust in the Wind,Kansas
41,Frankie Valli & The Four Seasons,Rag Doll,Frankie Valli & The Four Seasons
42,Elton John,Candle In The Wind - Remastered 2014,Elton John
43,The Flying Pickets,Only You,The Flying Pickets
44,Electric Light Orchestra,Livin' Thing,Electric Light Orchestra
45,Dionne Warwick,I Say a Little Prayer,Dionne Warwick
46,Eric Clapton,Wonderful Tonight,Eric Clapton
47,Bee Gees,Massachusetts,Bee Gees
48,Talking Heads,Burning Down the House,Talking Heads
49,Eagles,Take It Easy - 2013 Remaster,Eagles
50,George Harrison,What Is Life - 2014 Remaster,George Harrison
51,"Dave Dee, Dozy, Beaky, Mick & Tich",Hold Tight!,"Dave Dee, Dozy, Beaky, Mick & Tich"
52,Dooley Wilson,As Time Goes By,Dooley Wilson
53,Chicago,Hard to Say I'm Sorry,Chicago
54,Sarah Vaughan,Lullaby Of Birdland,Sarah Vaughan
55,Robert Palmer,Johnny And Mary,Robert Palmer
56,Marvin Gaye,Let's Get It On,Marvin Gaye
57,Louis Prima,I Wan'na Be Like You (The Monkey Song),Louis Prima; Phil Harris; Bruce Reitherman
58,James Brown,Papa's Got A Brand New Bag - Pt. 1,James Brown
59,Carpenters,(They Long To Be) Close To You,Carpenters
60,Little Richard,Lucille,Little Richard
61,The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds
62,John Lennon,Woman - Remastered 2010,John Lennon
63,The Isley Brothers,"""Shout",The Isley Brothers
64,James Taylor,How Sweet It Is (To Be Loved By You) - 2019 Remaster,James Taylor
65,Queen,Another One Bites The Dust - Remastered 2011,Queen
66,Hildegard Knef,Macky-Messer (Die Moritat von Mackie Messer),Hildegard Knef
67,Zager & Evans,In the Year 2525,Zager & Evans
68,Lalo Schifrin,Mission: Impossible,Lalo Schifrin
69,Ella Fitzgerald,Cheek To Cheek,Ella Fitzgerald; Louis Armstrong
70,Billie Holiday,Blue Moon,Billie Holiday
71,Kajagoogoo,Too Shy,Kajagoogoo
72,Bee Gees,To Love Somebody,Bee Gees
73,Supertramp,Breakfast In America - Remastered 2010,Supertramp
74,Eddie Cochran,Summertime Blues,Eddie Cochran
75,Chet Baker,Let's Get Lost,Chet Baker
76,Cliff Richard & The Shadows,Lucky Lips,Cliff Richard & The Shadows
77,Mike Oldfield,Tubular Bells,Mike Oldfield
78,Frankie Valli & The Four Seasons,Sherry - 2007 Remaster,Frankie Valli & The Four Seasons
79,Pat Boone,Speedy Gonzales,Pat Boone
80,Creedence Clearwater Revival,Down On The Corner,Creedence Clearwater Revival
81,Duran Duran,The Wild Boys,Duran Duran
82,Pat Benatar,We Belong,Pat Benatar
83,Sandie Shaw,Puppet On A String,Sandie Shaw
84,Jeanette,Porque te vas,Jeanette
85,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC
86,The Police,So Lonely,The Police
87,Mouth & MacNeal,How Do You Do?,Mouth & MacNeal
88,The Love Unlimited Orchestra,Love's Theme,The Love Unlimited Orchestra
89,Kool & The Gang,Get Down On It,Kool & The Gang
90,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,Frank Sinatra
91,Kool & The Gang,Ladies Night - Single Version,Kool & The Gang
92,Aerosmith,Sweet Emotion,Aerosmith
93,Michael Jackson,Rock with You - Single Version,Michael Jackson
94,Smokey Robinson & The Miracles,You've Really Got A Hold On Me,Smokey Robinson & The Miracles
95,Chuck Berry,No Particular Place To Go,Chuck Berry
96,Kim Wilde,Kids In America,Kim Wilde
97,Serge Gainsbourg,Je t'aime moi non plus,Serge Gainsbourg; Jane Birkin
98,"Earth, Wind & Fire",Let's Groove,"Earth, Wind & Fire"
99,Ultravox,Dancing with Tears in My Eyes,Ultravox
100,Peter Gabriel,Solsbury Hill,Peter Gabriel
101,"Crosby, Stills, Nash & Young",Our House,"Crosby, Stills, Nash & Young"
102,M / Robin Scott,Pop Muzik,M / Robin Scott; Robin Scott
103,Tony Bennett,Rags to Riches,Tony Bennett
104,Queen,We Are The Champions - Remastered 2011,Queen
105,Racey,Some Girls,Racey
106,Violent Femmes,Blister In The Sun,Violent Femmes
107,Chaka Khan,I'm Every Woman,Chaka Khan
108,The Rolling Stones,The Last Time - Mono,The Rolling Stones
109,Elvis Presley,Return to Sender,Elvis Presley
110,Bobby Darin,Beyond the Sea,Bobby Darin
111,Styx,Boat On The River,Styx
112,Penny McLean,Lady Bump,Penny McLean
