Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info,ISRC
1,Rock and roll all nite,Kiss,1975,https://www.youtube.com/watch?v=UXYfAOCpaww,Kiss - Rock And Roll All Nite (Remastered),ac7b502207a453367c123135ea18914460554cb9bde065df7b11d5076c2faadd,
2,Yéké Yéké,Mory Kanté,1987,https://www.youtube.com/watch?v=e7fpLeTdxPA,Yeke Yeke,0bcc66939f030279c649147273321786ce01b1f92b4b44a922a103a30dcd71f2,
3,You shook me all night long,AC/DC,1980,https://www.youtube.com/watch?v=3G6oLyWohUg,AC/DC  -  You Shook Me All Night Long (HQ),3435ff5adee0cdba9c25e1e72880c26590d9585d3639499f7cf7bae66c239600,
4,Summer Holiday,Cliff Richard,1963,https://www.youtube.com/watch?v=JNFvApgNpO0,Summer Holiday (2003 Remaster),25b2ccf9a13e1ea5bd739563fde1ad09ef70f03393b78dc5445fb108849387a2,
5,This is America,Childish Gambino,2018,https://www.youtube.com/watch?v=ddJqNY__9U8,This Is America,7db1a9a46ddec11c87fb04dd4f84ecc346b70448f6d5f537de2cc6b67f9c1056,
6,Cake By The Ocean,DNCE,2015,https://www.youtube.com/watch?v=PAzH-YAlFYc,DNCE - Cake By The Ocean,a8b4777d1a2693d583498e041f618df2637c512005cd029e2510f624f4c6aecd,
7,All the things she said,t.A.T.u.,2002,https://www.youtube.com/watch?v=t0KnuIGOb9I,All The Things She Said,c98a3e1c26c7e77aecbc0822f8d968eb43766f3415d2c2ace3a5e75922ae6f49,
8,World in motion,New Order,1990,https://www.youtube.com/watch?v=87YnE9fdlCU,World in Motion (2015 Remaster),df03fe1786e3c0ec40de2f80fc8fa1c2d90537b0aa4430c5776296f47422f255,
9,Summertime,Dj Jazzy Jeff & The Fresh Prince,1991,https://www.youtube.com/watch?v=osjSSC--2gY,Summertime,1880655f9b92fd0d59df705f5c4128e5f1b5a3d15a74dca4f7be6a2a0339fa25,
10,Rhinestone cowboy,Glen Campbell,1975,https://www.youtube.com/watch?v=8kAU3B9Pi_U,Glen Campbell - Rhinestone Cowboy,4c36e4d42110dd704176876910662028e89f87d8fe1f5aba42e5f0476493bda7,
11,Think,Aretha Franklin,1968,https://www.youtube.com/watch?v=P9yIoSpWWNE,Aretha Franklin - Think (Official Audio),d1a840f14b95c24bc7bf3e4452ab0d50bf10114bc28d697cf68653e8d2c7ee7d,
12,Big fun,Inner City,1988,https://www.youtube.com/watch?v=ZZpC30e4ehg,INNER CITY - Big Fun (1988).,6201924d622db05ef4c62579dc8226d975cf46986253a1d0b0399a5ee684830f,
13,Let's go crazy,Prince,1984,https://www.youtube.com/watch?v=_MzRfdZs60o,Let's Go Crazy,8907b344161f1642ff9abb3500e7acefda921272e8dd265450adcd750d454a9d,
14,Summer Of '69,Bryan Adams,1984,https://www.youtube.com/watch?v=IOqXiyqNAnU,Summer of 69 (Classic Version),b549aa9a49a55b73c7fee0c4f0ffbc04f3ccb467e13610a1ace37b40bd35ff4f,
15,It's My Life,Dr. Alban,1992,https://www.youtube.com/watch?v=aBJZsHDJvf0,It's My Life (Radio Edit),2b2000329d19eba9a9196f5a219da1fb6456522ef11155f112284b6e6185398f,
16,Temperature,Sean Paul,2005,https://www.youtube.com/watch?v=55wZaTkes1c,Temperature,1a14c9e187338f07beb9fd89adfb38872f2f7854ec3e3a5e1d2ea134a13303c3,
17,Rosanna,TOTO,1982,https://www.youtube.com/watch?v=OifHcv1gdns,Rosanna,3e1834c9b5c545f2fcb3a71c383db837172f77ce36cdf50decd23405cba2f993,
18,The only way is up,Yazz,1988,https://www.youtube.com/watch?v=vjD3EVC1-zU,Yazz - The Only Way Is Up (Official Music Video),14fc9256c3c80bca6493e82ab4f156fcfb9ddd3268a3ec30853ef40dc5bdde6d,
19,Mood,24kGoldn (feat. Iann Dior),2020,https://www.youtube.com/watch?v=2fvw0TkENHM,24kGoldn - Mood (Official Audio) ft. iann dior,11c3be5a2f4c99815e9252a7af25370f45ca291e1e3e22bb1642af0af12da168,
20,He's so fine,The Chiffons,1963,https://www.youtube.com/watch?v=MGkhe0DW5Oc,He's So Fine (Remastered 2000),893473f08047bace7b84c2575096792554e73b14f6e7f439da163688e103972f,
